prompt,llm_answer,label,reason,label_name,text,true_label
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Kerry Campaign Helping With Fla. Recovery (AP) AP - Democratic presidential candidate John Kerry does not plan to visit Florida in the aftermath of Hurricane Charley because he's concerned his campaign entourage could distract from recovery efforts, he said Saturday.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",World,0.0,该文本是关于美国政治人物约翰·克里在飓风过后佛罗里达灾后恢复相关的新闻内容，不属于体育、商业、科技领域，因此归类为World。,World,"Kerry Campaign Helping With Fla. Recovery (AP) AP - Democratic presidential candidate John Kerry does not plan to visit Florida in the aftermath of Hurricane Charley because he's concerned his campaign entourage could distract from recovery efforts, he said Saturday.",0
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Companies Approve New High-Capacity Disc Format (Reuters) Reuters - A group of consumer electronics\makers said on Wednesday they approved the format for a new\generation of discs that can store five times the data of DVDs\at the same cost -- enough to put a full season of ""The\Sopranos"" on one disc.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",,,,Sci/Tech,"Companies Approve New High-Capacity Disc Format (Reuters) Reuters - A group of consumer electronics\makers said on Wednesday they approved the format for a new\generation of discs that can store five times the data of DVDs\at the same cost -- enough to put a full season of ""The\Sopranos"" on one disc.",3
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Oil prices soar to all-time record, posing new menace to US economy (AFP) AFP - Tearaway world oil prices, toppling records and straining wallets, present a new economic menace barely three months before the US presidential elections.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Business,2.0,该文本核心内容围绕油价飙升创纪录，对美国经济造成威胁展开，内容属于经济商业相关领域，因此分类为Business。,Business,"Oil prices soar to all-time record, posing new menace to US economy (AFP) AFP - Tearaway world oil prices, toppling records and straining wallets, present a new economic menace barely three months before the US presidential elections.",2
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Missouri Attorney General Sues EPA (AP) AP - Missouri's attorney general sued the federal environmental agency on Friday, saying it is behind on testing the state's air for lead as required by law.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",World,0.0,该文本是关于美国密苏里州总检察长起诉联邦环保机构的时政公共事务新闻，不属于体育、商业、科技领域，因此归类为World。,World,"Missouri Attorney General Sues EPA (AP) AP - Missouri's attorney general sued the federal environmental agency on Friday, saying it is behind on testing the state's air for lead as required by law.",0
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Bomb at India Independence Parade Kills 15 (AP) AP - A bomb exploded during an Independence Day parade in India's remote northeast Sunday, killing at least 15 people, including schoolchildren, while a rocket attack during a celebration at a school in the separatist region of Kashmir injured 17, officials said.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",World,0.0,该文本报道了发生在印度的爆炸袭击事件，属于国际时事新闻，不属于体育、商业、科技领域，因此归类为World。,World,"Bomb at India Independence Parade Kills 15 (AP) AP - A bomb exploded during an Independence Day parade in India's remote northeast Sunday, killing at least 15 people, including schoolchildren, while a rocket attack during a celebration at a school in the separatist region of Kashmir injured 17, officials said.",0
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Rwandan Troops Arrive in Darfur (AP) AP - Dozens of Rwandan soldiers flew into Sudan's troubled Darfur region Sunday, the first foreign armed force deployed in the area since Arab militiamen began a rampage against black African farmers, killing thousands.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",World,0.0,该文本报道了卢旺达部队进驻苏丹达尔富尔地区的国际时政事件，属于世界新闻范畴，因此分类为World。,World,"Rwandan Troops Arrive in Darfur (AP) AP - Dozens of Rwandan soldiers flew into Sudan's troubled Darfur region Sunday, the first foreign armed force deployed in the area since Arab militiamen began a rampage against black African farmers, killing thousands.",0
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Seven Georgian soldiers wounded as South Ossetia ceasefire violated (AFP) AFP - Sporadic gunfire and shelling took place overnight in the disputed Georgian region of South Ossetia in violation of a fragile ceasefire, wounding seven Georgian servicemen.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",World,0.0,该文本报道了格鲁吉亚争议地区南奥塞梯发生违反停火协议、造成人员受伤的国际政治军事事件，属于国际时事新闻范畴，因此分类为World。,World,"Seven Georgian soldiers wounded as South Ossetia ceasefire violated (AFP) AFP - Sporadic gunfire and shelling took place overnight in the disputed Georgian region of South Ossetia in violation of a fragile ceasefire, wounding seven Georgian servicemen.",0
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Open Source Apps Developer SugarCRM Releases Sugar.Sales 1.1 (TechWeb) TechWeb - News - August 13, 2004
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Sci/Tech,3.0,待分类文本内容是开源应用开发商发布新的应用产品，属于科技领域相关内容，因此分类到Sci/Tech类别,Sci/Tech,"Open Source Apps Developer SugarCRM Releases Sugar.Sales 1.1 (TechWeb) TechWeb - News - August 13, 2004",3
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Galaxy, Crew Play to 0-0 Tie (AP) AP - Kevin Hartman made seven saves for Los Angeles, and Jon Busch had two saves for Columbus as the Galaxy and Crew played to a 0-0 tie Saturday night.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Sports,1.0,待分类文本是关于足球赛事的赛况报道，内容属于体育领域，因此将其分类到Sports类别。,Sports,"Galaxy, Crew Play to 0-0 Tie (AP) AP - Kevin Hartman made seven saves for Los Angeles, and Jon Busch had two saves for Columbus as the Galaxy and Crew played to a 0-0 tie Saturday night.",1
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Italy's Pennetta Wins Idea Prokom Open (AP) AP - Italy's Flavia Pennetta won the Idea Prokom Open for her first WTA Tour title, beating Klara Koukalova of the Czech Republic 7-5, 3-6, 6-3 Saturday after French Open champion Anastasia Myskina withdrew before the semifinals because of a rib injury.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Sports,1.0,待分类文本是对网球WTA巡回赛赛事赛果的体育新闻报道，内容属于体育领域，因此归类为Sports。,Sports,"Italy's Pennetta Wins Idea Prokom Open (AP) AP - Italy's Flavia Pennetta won the Idea Prokom Open for her first WTA Tour title, beating Klara Koukalova of the Czech Republic 7-5, 3-6, 6-3 Saturday after French Open champion Anastasia Myskina withdrew before the semifinals because of a rib injury.",1
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Money Funds Fell in Latest Week (AP) AP - Assets of the nation's retail money market mutual funds fell by  #36;1.17 billion in the latest week to  #36;849.98 trillion, the Investment Company Institute said Thursday.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",,,,Business,"Money Funds Fell in Latest Week (AP) AP - Assets of the nation's retail money market mutual funds fell by  #36;1.17 billion in the latest week to  #36;849.98 trillion, the Investment Company Institute said Thursday.",2
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Group to Propose New High-Speed Wireless Format (Reuters) Reuters - A group of technology companies\including Texas Instruments Inc. (TXN.N), STMicroelectronics\(STM.PA) and Broadcom Corp. (BRCM.O), on Thursday said they\will propose a new wireless networking standard up to 10 times\the speed of the current generation.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Sci/Tech,3.0,该文本核心内容为多家科技企业将提议推出新一代高速无线网络标准，内容属于科技技术领域范畴，因此分类为Sci/Tech。,Sci/Tech,"Group to Propose New High-Speed Wireless Format (Reuters) Reuters - A group of technology companies\including Texas Instruments Inc. (TXN.N), STMicroelectronics\(STM.PA) and Broadcom Corp. (BRCM.O), on Thursday said they\will propose a new wireless networking standard up to 10 times\the speed of the current generation.",3
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Phelps, Thorpe Advance in 200 Freestyle (AP) AP - Michael Phelps took care of qualifying for the Olympic 200-meter freestyle semifinals Sunday, and then found out he had been added to the American team for the evening's 400 freestyle relay final. Phelps' rivals Ian Thorpe and Pieter van den Hoogenband and teammate Klete Keller were faster than the teenager in the 200 free preliminaries.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Sports,1.0,待分类文本内容围绕奥运会游泳项目的预选赛晋级情况展开，讲述的是体育赛事相关内容，因此归类为Sports。,Sports,"Phelps, Thorpe Advance in 200 Freestyle (AP) AP - Michael Phelps took care of qualifying for the Olympic 200-meter freestyle semifinals Sunday, and then found out he had been added to the American team for the evening's 400 freestyle relay final. Phelps' rivals Ian Thorpe and Pieter van den Hoogenband and teammate Klete Keller were faster than the teenager in the 200 free preliminaries.",1
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Wall St. Bears Claw Back Into the Black (Reuters) Reuters - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Business,2.0,这段文本围绕华尔街卖空交易者、金融市场相关的财经内容展开，属于商业领域范畴，因此分类为Business。,Business,"Wall St. Bears Claw Back Into the Black (Reuters) Reuters - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again.",2
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: NL Wrap: Jones Homers Twice as Braves Down Cards  NEW YORK (Reuters) - Chipper Jones cracked two homers and  Julio Franco's two-run double in the seventh inning drove in  the winning runs as the streaking Atlanta Braves downed the St.  Louis Cardinals 9-7 in the National League Saturday.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Sports,1.0,该文本主要报道了亚特兰大勇士对阵圣路易斯红雀的棒球比赛赛况，内容属于体育领域，因此分类为Sports。,Sports,NL Wrap: Jones Homers Twice as Braves Down Cards  NEW YORK (Reuters) - Chipper Jones cracked two homers and  Julio Franco's two-run double in the seventh inning drove in  the winning runs as the streaking Atlanta Braves downed the St.  Louis Cardinals 9-7 in the National League Saturday.,1
